sample_name	group	fq1	fq2
CTX_104	treated	/mnt/gtklab01/megha/SpliCeAT_add/OG_mm_trimmed/fastq/CTX_104_1_FP.fq.gz	/mnt/gtklab01/megha/SpliCeAT_add/OG_mm_trimmed/fastq/CTX_104_2_FP.fq.gz
CTX_108	treated	/mnt/gtklab01/megha/SpliCeAT_add/OG_mm_trimmed/fastq/CTX_108_1_FP.fq.gz	/mnt/gtklab01/megha/SpliCeAT_add/OG_mm_trimmed/fastq/CTX_108_2_FP.fq.gz
CTX_120	control	/mnt/gtklab01/megha/SpliCeAT_add/OG_mm_trimmed/fastq/CTX_120_1_FP.fq.gz	/mnt/gtklab01/megha/SpliCeAT_add/OG_mm_trimmed/fastq/CTX_120_2_FP.fq.gz
CTX_125	control	/mnt/gtklab01/megha/SpliCeAT_add/OG_mm_trimmed/fastq/CTX_125_1_FP.fq.gz	/mnt/gtklab01/megha/SpliCeAT_add/OG_mm_trimmed/fastq/CTX_125_2_FP.fq.gz
CTX_128	treated	/mnt/gtklab01/megha/SpliCeAT_add/OG_mm_trimmed/fastq/CTX_128_1_FP.fq.gz	/mnt/gtklab01/megha/SpliCeAT_add/OG_mm_trimmed/fastq/CTX_128_2_FP.fq.gz
CTX_147	control	/mnt/gtklab01/megha/SpliCeAT_add/OG_mm_trimmed/fastq/CTX_147_1_FP.fq.gz	/mnt/gtklab01/megha/SpliCeAT_add/OG_mm_trimmed/fastq/CTX_147_2_FP.fq.gz
CTX_148	control	/mnt/gtklab01/megha/SpliCeAT_add/OG_mm_trimmed/fastq/CTX_148_1_FP.fq.gz	/mnt/gtklab01/megha/SpliCeAT_add/OG_mm_trimmed/fastq/CTX_148_2_FP.fq.gz
CTX_154	treated	/mnt/gtklab01/megha/SpliCeAT_add/OG_mm_trimmed/fastq/CTX_154_1_FP.fq.gz	/mnt/gtklab01/megha/SpliCeAT_add/OG_mm_trimmed/fastq/CTX_154_2_FP.fq.gz
